,Statement,Emotion
12777,"Hey! Ooh, how was your first day working at the restaurant?",joy
12778,Let’s go.,neutral
12779," You're welcome , glad to be of assistance . ",joy
12780," So , you're going to have a really nice vacation . ",joy
12781," Yes , we got wet through . But we still enjoyed ourselves . ",joy
12782,Y’know what? I am,neutral
12783, I realize that I ’ m not in a position to offer you the kind of promotion you deserve I'll gladly do what I can to help . ,joy
12784,"I don’t see it.  You are dancing with the tall guy over there. Tall guy, raise your hand!",neutral
12785,Why are you yelling?,joy
12786, I'm sorry we don't ship overseas . It's too much trouble . ,sadness
12787," OK , I'll give it a go . ",joy
12788, It's a ETV palace ! I'm glad I brought my platinum card . ,joy
12789, Really ? That's great that you found a school that puts your need first . ,surprise
12790, I ’ m still shocked that Obama was elected . ,surprise
12791, Cool . You must have been to a lot of places . ,joy
12792," Oh , I see them . Beautiful weather should be shared by all the people . ",joy
12793,You mean they like you.,neutral
12794,"Look, I understand if you came by to hit me, I deserve it.",sadness
12795, Me too . Have a great day . ,joy
12796, Thanks . ,joy
12797,"Ok, ok, here we go.",neutral
12798,You don't think they'll judge and ridicule me?,fear
12799, Nice to meet you too ! I am Peter Smith . ,joy
12800,"Well, I don’t think this, y'know.",neutral
12801, Thank you . I will deal with it . ,joy
12802,"Well, honey that was pretty obvious.",sadness
12803, my pleasure . Let's go and have a drink . ,joy
12804," Ok , for starters we have Tom Yam soup . It's a bit spicy , but really good ! ",joy
12805," You're going out of your way for us , I believe . ",joy
12806,"Well, I-I guess I gotta go.",sadness
12807,What am I gonna do?!,fear
12808, I would like to purchase it . ,joy
12809,Pa-haa!! I would love to go with you.,joy
12810, Excellent ! That sounds like a plan . ,joy
12811, He prefers suits to jackets . ,joy
12812,"Hey, Mel Gibson and Clint Eastwood.",surprise
12813," She ’ s got quite a crowd around her . Oh , look ! That little girl caught it ! ",joy
12814, That sounds good ! Please bring me one of those . ,joy
12815,"Ohh, get a room.",disgust
12816, See you . ,joy
12817,Terrified.,fear
12818, They sure did . ,anger
12819,Is there something wrong?,neutral
12820,"Ohh, it was the best!",joy
12821, It wouldn't rain in the middle of the summer . ,sadness
12822,Wait-wait where are you going? Where are you going?,fear
12823,"We're sorry, Pheebs, we're sorry.",sadness
12824,Hello.,neutral
12825," All right , ma'am , they'll be ready for you in an hour . ",joy
12826,"No, no-n-n-n-no!!",fear
12827," Yeah , very tasteful . And with them , you look even more fashionable . Oh , there are so many French perfumers . Oops , perfumes for guys ? So strange ! ",surprise
12828, Let's take a walk for a half an hour . My sister will get here at about 8: 30PM and then we can all go out to dinner . ,joy
12829,"i saw lily for the first time . and fell like i'v been struck by lightening.she is a girl of my dreams . i have a date with her on Friday , but i really can't decide what to do . ",joy
12830,"I'm sorry, man.",sadness
12831,"Oh, it’s just like a bloodbath in here today.",sadness
12832,Really?,surprise
12833,"Yeah that, plus his mom used to put sour cream on everything!",neutral
12834, This guy just robbed me right on the street . ,joy
12835," I see . Well , good luck ! ",joy
12836," Oh , that's fantastic ! ",joy
12837,"Well Phoebe, we gotta do something!",sadness
12838,"Hey, y’know what, if you’re gonna do that, if you’re gonna name him Joey, you should name him Chandler.",neutral
12839,I am,neutral
12840, What ’ s so great about him ? ,joy
12841, Oh wonderful ! Have you been there before or was it your first time ? ,joy
12842, That's perfect . I will definitely do well . ,joy
12843," Thank you , Mr . White . I really appreciate your assistance . ",joy
12844,"Whoa! Whoa! Whoa! Treeger, what are you doing?",surprise
12845, Goodbye . Thank you again for coming . ,joy
12846," Yes , of course . And I'm amazed the those karate and judo boys were so helpless before the wrestlers . ",joy
12847,"Uhh, yes I did but there isn't. Okay, here we go.",sadness
12848,Why?,surprise
12849,Thank you.,neutral
12850," I ’ m glad to meet you , Mr . Song . ",joy
12851,Oh my God Stu! I-I can’t believe you did this! Now are you absolutely sure she’s a hooker?,disgust
12852, Thanks a lot . ,joy
12853,JOEY!!!!!!,joy
12854," Todd , good to hear from you ! ",joy
12855, Thank you very much . ,joy
12856," OK . It's 15066688866 . Call me ! Bye-bye , then . ",joy
12857,I love Chinese food . ,joy
12858, Good idea . Is there a good movie on ? ,joy
12859,There's something new in the bowl.,surprise
12860, That's good to know . Thanks . ,joy
12861,"Aww, me too. Now let's finish this and go to bed.",joy
12862,Where does that leave me?,sadness
12863, That would be great . ,joy
12864, OK . Let's disco . ,joy
12865,The next next?,neutral
12866,It’s better to be over the hill  then buried under it.,neutral
12867,It’s too late!,anger
12868,"No, the quiet down thing!",anger
12869," Thank you . I have roses , tulips , and daffodils . Do you like the rockery with the smaller flowers ? ",joy
12870, Never mind . What about taking a look around the theater ? ,joy
12871, What does that mean ? ,anger
12872, Thank you . ,joy
12873,For what? For letting you throw me out of your office?,anger
12874," sure , I will be happy to bring a few , what is the address ? ",joy
12875,"If-if I’m the only person with any appreciation of the sanctity of the written word, I’ll go up there and defend it myself!",anger
12876," Sorry , but I'm on my way out now.Could you come back in an hour ? ",sadness
12877," Sure ! They are very fresh , first of all . We sell at a bargain , and you make a wise purchase if you buy them today . Eighty cents only , a piece . ",joy
12878,"Ben, I want you to know that there may be some times when I may not be around, like this.",sadness
12879, You can use some time off.You ' Ve been working too hard anyway . ,joy
12880, Of course . I will . ,joy
12881," if you haven't tried Beijing duck yet , I'd like to treat you to a meal at a famous duck restaurant near Qianmen . It would be a pity if you left without tasting it ! ",joy
12882," It sure looks special , looks expensive too . ",joy
12883, Thanks . ,joy
12884,"No, Pheebs, listen, if you decide to do this, we’ll be supportive like crazy.",neutral
12885," No , it can't be . Really ? Who ? ",surprise
12886, Why should I wear a skirt ? Or a dress ? ,anger
12887, It was so kind of you . ,joy
12888," Of course I am . Well , pleasant dreams ! ",joy
12889,"Hey! You guys! Check it out, check it out!  Guess which job I got.",joy
12890," Bob is retiring , wow ... that's news to me , I had no idea Bob was that old , retirement's still sixty-five , right ? ",surprise
12891, No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . ,sadness
12892," Oh , great ! I hope I can spend this Spring Festival with you here in Beijing . ",joy
12893,"How about a movie on Sunday , Mum ? ",joy
12894,Oh! What what what! ...Hi.,surprise
12895,"Okay, you go!",anger
12896,"Hey, who's this little naked guy?",surprise
12897,"Mom no, come on! Thank you.",surprise
12898,Are you nuts?! We've got George Stephanopoulos' pizza!,surprise
12899, It ’ s a wonderful Spanish style . ,joy
12900,Oh does it matter?! All that matters is that you look so handsome.,sadness
12901,Eight whole days.,neutral
12902," I'm very sorry , sir . I'll ask the manager to take care of this . ",sadness
12903,Is he crazy?! You just had Ross’s baby!,surprise
12904, Umm . yeah ! Right ! I got the car started ! Thanks for your help ! I told you to fill the tank ! ,joy
12905, Do you want to go to an exhibition ? There is one at the Xinghai Exhibition Hall tomorrow . ,joy
12906, Really ? He is so competent now . ,surprise
12907," Well , it's good that you're so talented . ",joy
12908," Okay , let me brush you off . Thank you very much for coming . ",joy
12909,"We're supposed to uh, be spending a romantic weekend together, it-it, what is the matter with you?",anger
12910,Well I’m peeking.  Oh my God!,surprise
12911," Yeah , you ’ re quite right and what ’ s your hobby ? ",joy
12912,Mine!,neutral
12913, Sure . You look like you're all black and blue . ,anger
12914," I can not stop coughing , and I can not stop sneezing . I vomited blood last night . Sorry , I am coughing again . ",sadness
12915, That sounds good . ,joy
12916,Oh but look! That’s gonna leave a stain!,disgust
12917,"Happy anniversary , sweetheart ! ",joy
12918,I’ll do it without you!,anger
12919," Ok , who is that girl ? ",joy
12920,"I’m just saying y’know, if we’re having sex, he’s not gonna be talking.",neutral
12921,"I’m sorry, I know this must be really hard, it’s over.",sadness
12922, Are you crying ? ,surprise
12923, My friends and I just got back from Bali . ,joy
12924, I can't believe it . I can't believe I fell into your trap . ,anger
12925," Oh , photography , It ’ s really a good hobby . ",joy
12926,Pheebs...,neutral
12927, Thank you so much . ,joy
12928,Anybody gonna eat that?,neutral
12929,"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I’m going to Florida for a couple weeks.",surprise
12930, Maybe ... but I don't think so . ,sadness
12931, She did ? Why didn't anyone tell me ? ,surprise
12932,"I mean pretty soon they’re gonna be having kids, and then they’re just gonna be hanging out with other couples who have kids.",sadness
12933,Much!,joy
12934, This is a really great place to watch a baseball game . ,joy
12935,What-what-what-what is it?!,joy
12936, Don ’ t mention it . ,joy
12937, you did ? I thought you must feel right at home here as we get as many fast food restaurants as you do in America . ,surprise
12938,"Uh, belt's to tight, gotta change the belt.",joy
12939,White Rose Restaurant . Good afternoon ! Can I help you ? ,joy
12940, When will you be convenient ? ,joy
12941,"Welcome everybody, welcome to Amazing Discoveries!",joy
12942,What a beautiful watch . It goes very well with your ring . ,joy
12943, thank you very much . ,joy
12944, Are you kidding ? ,surprise
12945,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral
12946," Oh , OK . Wow ! ",joy
12947,That and arrogance.,anger
12948, Like that Rastafarian over there ? You mean dreadlocks ? You crazy ! That'll take way too long . ,surprise
12949, Thank you . ,joy
12950,Huh?,neutral
12951, That's quite reasonable . ,joy
12952,"No, but I want...I want the pinecones!",joy
12953, All right . ,joy
12954,I love that vase . ,joy
12955,"Well, John McClane had plans!",anger
12956,"Yeah well next thing you know, he’ll be telling you that your high heels are good for his posture!",disgust
12957,I want that place so much!!,joy
12958,Thanks . Sometimes talking with a friend is a great way to get over something . Do you mind if I vent a little bit ? ,anger
12959," Just a club soda for me , please . ",joy
12960,It is so quiet here . I like the place . ,joy
12961,"Will you get me a white Zinfandel, and a glass of red for Janice.",neutral
12962," Oh that's great , congratulations ! What's your new position ? ",joy
12963, You ’ Ve got to be kidding me ! You ’ re complaining about me talking on the phone when you go out for a cigarette break ten times a day to shoot the breeze ? ,anger
12964, Really ? It was on in 1994 for the first time . And it is really a classic . ,surprise
12965,"Hey, did she buy it?",neutral
12966, I am sure it will be . It's been good so far this weekend . ,joy
12967, Whoa whoa whoa ! Are you nuts ? How much is all this going to cost ? I ’ m looking at the price at each one of these little things and it ’ s outrageous ! This is basically a crayon ! ,anger
12968,"Y'know what, I want to talk to you about this so much, but we should probably do it when we could really get into it, are you free for dinner tomorrow night?",neutral
12969, I'm glad you came . You're welcome anytime . ,joy
12970,Oh yes there is!,anger
12971, What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! ,anger
12972,"Philip , I was really glad to hear about your award . Congratulations ! ",joy
12973, Any time after 6 o'clock is good for me.Oh ! I'm late ! I have a class . ,joy
12974,"No, I know.",neutral
12975,"We can’t tell him, you can’t go up to a guy you barely know and talk about his.... stuff.",anger
12976,"Great, Monica, y'know what, you could've called, I have been up here, I've been worried...",sadness
12977, Good . See you later . ,joy
12978, I'll tell you all about it another day . ,sadness
12979, I go as much as I can . I love hiking because you can really get in touch with nature . ,joy
12980,Well can you at least stay to the end of the play?,sadness
12981,Do you want to try your hand at tennis ? ,joy
12982,How ya doin'? Welcome. Good to see ya!,joy
12983," That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . ",disgust
12984, look ! they've taken your fur coat too . ,surprise
12985,Not smoking.,sadness
12986, how did that happen ? He's so talented ! I thought he had a great chance of winning a gold medal ! ,surprise
12987, I guess you're right . I can help you ask other hotels . I am sure there are probably some available . ,joy
12988, Yes . We'll have our baby soon . ,joy
12989," No , thanks . I've had enough.Now , Mary , before you blow out the birthday candles , you have to make a wish.After that , you may cut the cake . ",joy
12990,I’ll be fun.,neutral
12991, I believe I will . ,joy
12992, Fine . Let's call a truce . I'll try to more considerate and to keep the noise down . ,anger
12993,What?!,surprise
12994," Yes . Look at these historical relics here , amazing ! ",joy
12995, Thank you . ,joy
12996, That's great . You can go take a look . ,joy
12997,How did you…know?,surprise
12998,And that’s how it’s done.,neutral
12999," Thank you , have a nice day . ",joy
13000," not only our annual sales brake a record , but our month by month earnings exceeded our forecast as well . After a two-year slump , we finally back in the black . ",joy
13001,Why are we in bed together?,surprise
13002,Right. No biggie. Stay loose.,neutral
13003, Thanks for your help . ,joy
13004,"Okay no way, you cannot use that to get the cute guy and the last blueberry muffin.",sadness
13005,"Hey , check out this new game I bought today . ",joy
13006, It certainly has been a pleasure seeing you again and renewing old memories . ,joy
13007,"Look, I took it too far!",joy
13008,"I heard you're getting married , James . Congratulations ! ",joy
13009," Oh , Tom ! They sound fantastic . I really like all those things . ",joy
13010," Sorry , no . We only take MasterCard or Visa . ",sadness
13011," He ’ s fine , Thanks . How ’ s Emma ? ",joy
13012," Really ? Quite a woman , isn ’ t she ? ",surprise
13013,Haven't seen you for a long time ,joy
13014,"Hello , Jack.It ' s good of you to come . ",joy
13015," And she's good at sports , too . She knows how to play tennis and basketball . ",joy
13016, I am so glad we met one another . ,joy
13017,"Y'know, hey! You’re the one who ended it, remember?",anger
13018,No I'm not.,neutral
13019, Good idea ! Is two o'clock okay ? ,joy
13020,"Paul , a company called me for an interview . ",joy
13021,"I ’ m sick of my job , I always have to work late at night , and the company keeps me working in the office . ",disgust
13022,At his apartment. Is this juice?,neutral
13023,"No. It disappears back there behind that baseboard. For a minute there, I thought it went downstairs.",neutral
13024," I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone . ",anger
13025," So sorry . Next time we'll go , thanks anyway . ",joy
13026,Okay!,surprise
13027," It's my pleasure . Well , then , see you tomorrow . ",joy
13028, I ’ Ve made a lot of new friends since I started learning English . Maybe you could join a club or take a class to make some new friends . ,joy
13029, Thanks for coming . ,joy
13030,"Bob , look at this sentence . ' Healthy eating is not about strict nutrition philosophies , staying unrealistically thin , or depriving yourself of foods you love . ' It's interesting , isn't it ? ",joy
13031,She is not…  She’s gay. Oh my God. She is,anger
13032,"Uh we didn't, uh we didn't get the chance to talk.",neutral
13033,"Cassie, are you finding everything okay in there?",neutral
13034,Not interested in that.,neutral
13035," That's fine , thank you . ",joy
13036,"Y'know, hey! You’re the one who ended it, remember?",anger
13037,That’s what Monica said.,neutral
13038, Certainly.How do you like to have it made ? ,joy
13039,"No-no-no-no-no-no-no-no… It’s okay, I mean I—look Rach, I know I scared you off with that whole Naked Thursday’s thing, but we don’t have to do that!",neutral
13040,"I know, it's great!",joy
13041," Yes , and there are many houses nearby . I like it that the neighbourhood isn ’ t full of apartment blocks . ",joy
13042,Kitten?,neutral
13043,Hey! How long until Pete’s fight?,neutral
13044, Don't mention it . ,joy
13045,"Ross, I still can’t forgive you for what you did, I can’t, I just, but sometimes when I’m with you I just, I feel so...",sadness
13046,"Oh my god, we killed Bob!",sadness
13047, How can believe it if the same excuse was used twice within a week ? ,anger
13048,"But we-we didn’t have…sex-uh, did we?",fear
13049,"Oh no! No God, definitely not jealous!",neutral
13050,Much,neutral
13051," That bad egg , who took the low road since he was a boy . ",disgust
13052,"Ugh, how can you even ask that question?!",surprise
13053," Yes , it is . Look at the little light ! It blinks off and on . ",joy
13054,He was my first client when I became a party planner.,neutral
13055, You too . I hope to see you soon.Goodbye . ,joy
13056," You know , it's OK for a girl to forget these "" big days "" , but for a guy , to do that is unforgivable . ",anger
13057,Hey!,joy
13058,"Oh, Rachel and I have appointments to get our hair cut.",neutral
13059,Hey! Hey!!,surprise
13060," Thanks for helping out.Now Im ready , what are you doing tonight ? ",joy
13061," That may be true , but I'm sure you enjoyed your sandwich . ",joy
13062, We are ready to help you . ,joy
13063,Oh my God!  Where the hell have you been?!!,anger
13064,"No, thank you.",neutral
13065,"Oh my, oh my God!",surprise
13066, Forgotten about it ? How could you ? ,surprise
13067, Thank you very much . I ’ ll see you the day after tomorrow . ,joy
13068,Did you not hear me before when I told you that all of Janine’s friends are dancers?!,surprise
13069," Never mind being sorry , what are you going to do about it ? ",anger
13070, What a lovely dog ! How did you know I love this ? ,joy
13071,so we finally get to the top of the mountain and airhead here  forgets the camera!,disgust
13072,Your mom called me. So is this her?,neutral
13073,"Hi, hi can I help you?",joy
13074," Sure , thanks . I brought you a bottle of wine as well . ",joy
13075, Not much . She is very tall and slim . ,joy
13076,"Oh, between you telling him that I wanted to have a fling and me putting out on the first date—oh, he’s so gonna get the wrong idea.",sadness
13077, Great ! Do you know someone else who is also looking for an apartment ? ,joy
13078,"No, wait, oh, what are we sorry about?",surprise
13079," I'm not sure if we've got any now . Books of that kind are on this shelf . Well , I'm afraid we've sold out . ",sadness
13080,I know!,sadness
13081,I’m gonna make it on my own!,anger
13082,"Gosh , another stop.It seems the cars ahead of us have to stop every two minutes , It's no quicker than a bus . ",anger
13083,"Oh, y’know what, that might be okay even if it was just kind of a fling, that might be all right with Rachel.",neutral
13084,"Okay, okay, what's going on?",neutral
13085, But you agreed to go out with me at last . ,joy
13086,How slowly you drive ! ,anger
13087,"Hello , Lucy , I heard you did a good deal in interview . ",joy
13088, I thought it was better than the others-I really liked it . What did you think of it ? ,joy
13089," Yeah , I like it a lot . It's very pretty . Where did you buy it ? ",joy
13090, Oh I didn ’ t know you were married . ,joy
13091,What?,neutral
13092,Do I ever.,joy
13093,"But this break-up was not all my fault, and she, she says here,  “If you accept full responsibility...”  Full responsibility!",anger
13094," exactly . You know , the sunshine and wind remind me of our honeymoon . You remember ? The island , the sound of the waves , the salty sea air and the sunshine ... ",joy
13095,"Well, I would love to but…the bike got stolen and the police have no suspects.",joy
13096,But no: Chandler is in an accident and can’t perform sexually and he would want you to take a lover to satisfy the needs that he can no longer fulfill.,neutral
13097,Hey!,surprise
13098, Nice to meet you too . Let me help you with your bags . ,joy
13099,"Well, I’m very glad you’re here.",joy
13100,"Yeah-no, stop apologizing, it’s okay.",neutral
13101, Get out of it ! It wasn't as good as you think . ,anger
13102," Thank you , Mr.Smith . I'm returning to China today . ",joy
13103,Um-hmm. Oh wait! This is Bonnie.,surprise
13104,"Lisa , I'm so glad to see you . How are you doing ? ",joy
13105,"And lightweight , too . It'll play for 20 hours on two AA batteries ! ",joy
13106, The lower branches on that tree are hanging very low . Would you like me to cut them off for you ? ,joy
13107,"Only the people in the white coats sit over there,  and only the people in the blue blazers sit here.",neutral
13108,Monica? You gonna be very proud of me. I just got us dates with two unbelievably cute nurses.,joy
13109,"Wait, if that’s his favourite area, why is he being so mean to it?",surprise
13110, We have to wait six more minutes ! ,anger
13111, But she did and it made me disappointed . ,sadness
13112,I’m telling you it’s like watching Bambi learn how to walk.,anger
13113, OK . Here you are . ,joy
13114,"Thanks, but I kinda have a problem to deal with here.",fear
13115, Good . I think I'll choose this single breasted one . When can I get it ? ,joy
13116, I'm really pleased with it . Thanks . ,joy
13117,Hi.,neutral
13118,"It's like ... like she's the princess and I'm the stable    boy ... Why are you doing this, huh?",sadness
13119,Fine.,anger
13120," Oh , Miss Anna ! That's too hard ! I won't be here long . ",joy
13121,"Morning , Zina . Just wanted to say thanks again ! ",joy
13122," Oh , you're lucky , there are just two tickets left . Do you want to take them ? ",joy
13123,Really.,joy
13124,Why would you say that?,neutral
13125," I want to go fishing today , but I have left my rod and fishing line at home . ",sadness
13126,Can I ask you something? Have you ever had a guy have a crush on you?,neutral
13127,Oh my good God.,disgust
13128," Yeah , sure . Your total is seventy-eight dollars and thirty-three cents . Here is your receipt . Have a nice day . ",joy
13129,"Joey. Joey, something feels weird and not good weird. I don’t—Whoa!!",fear
13130, That Kenmore looks nice . ,joy
13131, Oh my god . Please save her life . ,sadness
13132,I'm still alive!!,joy
13133, I ’ m shocked he actually won . ,surprise
13134, Sorry . The road is too crowded . ,sadness
13135,"Actually, nectarines, but basically...",neutral
13136, I'm glad to help you . But what is it you want to ask about ? ,sadness
13137, Really ? What could that be ? ,surprise
13138,"No kiddin', hmm.",surprise
13139," Yes , very much . Which one is the latest ? ",joy
13140," Sorry , I couldn ’ t help you . ",sadness
13141, You ’ Ve given me very valuable advice and I have more confidence in myself now . Thank you very much . ,joy
13142,"This has a little bit of orange peel, but no nutmeg.",neutral
13143," I like painting , sailing , watching football and talking to you . ",joy
13144," Hah , as the sale department director of our team , you are the best . ",joy
13145,Oh God I'm sorry!,joy
13146,"Oh my God Chandler, the one you picked is gone. It’s over!",anger
13147," Well , whatever it does , I feel transformed ! ",joy
13148,"Hey, if mommy can have a wife, daddy can have a bra.",neutral
13149," Well , let's see which technique is better . I think I'll go up first ... Yes ! I hit a strike . I knocked them all down on my first bowl . ",joy
13150,Is he doing his shark attack bit yet?,neutral
13151, You're so lucky . I hope to get married to a guy like that . ,joy
13152,"No, but let’s come back to that later!",neutral
13153,All in good time.,neutral
13154,"Oh yeah?  If I can’t, I’ll knock five bucks off the price off the unit.",anger
13155, Let's hope it is ! ,joy
13156,Where have you been?,neutral
13157,I can’t.,sadness
13158," When I was your age , my parents didn ’ t have central heating like you do ! We had a furnace in the center of the living room and that was it . We used it to cook , heat the house and even dry our clothes ! We never caught a cold . You should be grateful ! ",anger
13159, I don't know whether we are in a dream . ,joy
13160,My Catholic friend is right.,neutral
13161,How’s your room Rach?,neutral
13162, That's my favorite . ,joy
13163, Really ? What ! ,surprise
13164," Oh , that sounds great ! ",joy
13165, Bye . ,joy
13166,"Hi , Mike , what gives ? ",joy
13167, Thank you . ,joy
13168," It was boring . The music was too slow and the food was lousy and , above all , I was really sick of the same old crowd all the time . ",disgust
13169,"I’m not even getting married! Okay, this is a question for science fiction writers!",neutral
13170, No way ! ,surprise
13171, It certainly was a great party . It ’ s a pity that a glass and a plate got broken and someone spilled a drink over here . ,joy
13172, I didn't take my cellphone with me at that time . ,sadness
13173,"I'm telling you, something's wrong! My brother does not stay out all night.",fear
13174, Thank you for your compliments.It ' s just that you are a good leader . Do you like the fox-trot and tango ? ,joy
13175,And you got a 'hate' from that?! Your taking a big leap there...,fear
13176," Oh , yeah ? ",surprise
13177," Let me have a look . Oh , no . They are Chinese poems which describe this happy scene . ",joy
13178,"So Lizzie, are-are-are you planning on staying the night?",neutral
13179,"I know, I’m sorry! But y’know, this ring is better! Monica never even saw the other ring.",anger
13180,"Hello , Kith , can you and Alice come around this evening ? We prefer your coming . ",joy
13181," Lorin Maazel . He did an amazing job . Moreover , he just celebrated his 75th birthday . ",joy
13182, I wasn't happy with it . ,disgust
13183,"I know, just quick-quick question, quick question. Which one was",neutral
13184,Why isn’t that valet back with my Porsche?,anger
13185,You’re the worst best man ever!,anger
13186,Can I tell you a little secret?,neutral
13187,I’m not even scared to tell mom and dad.,neutral
13188,"Mary , would you like to get something to eat with me ? ",joy
13189,"Hey-hey, now he’s showing us his poking device.",surprise
13190,"No, I’m not gonna pick them up.",anger
13191,"Ross! What are you… I'm sorry sir. I just, I think he just really likes you.",neutral
13192,"I turned it off. Mother of God, I turned it off!",anger
13193,"Fine. Fine, alright, now you'll never know.",anger
13194,"Just do it really fast, and then the wound is exposed.",neutral
13195,"Uh, yeah, I’ll take a coffee. Thanks, man.",neutral
13196,It’s…it’s complicated okay?,sadness
13197,"Hey Rach, the tampons here are only a penny. Let’s stock up.",joy
13198," Great ! I would like to see cute pandas , too . ",joy
13199," Oh dear , I forgot to bring it . ",sadness
13200," Well , I heard that last year Vivian from accounting won a new car ! ",joy
13201,"No, I let him win—Ross!",neutral
13202,Presenting Sarah Tuttle’s Private Very Special Spacecamp!,joy
13203," Thank you , you are so thoughtful . I think I could use some beers right now . ",joy
13204,What do you do in your spare time ? ,joy
13205, Working at weekend is something I hate to do most . ,disgust
13206,"Oh, hey, how about this one.",neutral
13207,I can show you an ID if you want?,neutral
13208,"No, you are not. We tell you stuff.",neutral
13209, What time shall we go ? ,joy
13210," Oh , it is nice and cold , definitely good orange juice . ",joy
13211, That would be a good idea . ,joy
13212, Good luck ! ,joy
13213,"Let me ask you some questions about, is it, uh, Marcel?",neutral
13214,He’s not really my type.,neutral
13215, That's more reasonable . I'll take this one . ,joy
13216,"Joe Stalin. Y'know, that's pretty good.",joy
13217, Thanks your flatter . ,joy
13218, OK . Bye . ,joy
13219,I don't know how to adjust my life . Would you give me a piece of advice ? ,sadness
13220, Umm . yeah ! Right ! I got the car started ! Thanks for your help ! I told you to fill the tank ! ,joy
13221,"Oh don’t listen to him, he’s just some guy who really wants the apartment, but I don’t think he’s gonna get it.",sadness
13222, Great ! Thank you very much . ,joy
13223," Really ? In that case , could I have the number of the Service Centre please ? ",surprise
13224,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",neutral
13225,"Dr. Farber, Bobby Rush is here for his adjustment.",neutral
13226, Sounds fascinating . Where is your new house located ? ,joy
13227," Yes , there is one behind our building . And you can play tennis there . But if you want to play tennis there , they will change you 30 Yuan per hour . ",joy
13228," You really have a bid head , don't you ! ",joy
13229,I-I’m sorry?,sadness
13230, Today ? ,joy
13231,"I’ve been a nice guy up until now, but uh, I don’t need this grief.",anger
13232,Hello ! We ’ Ve been waiting for our lunch order for over an hour . Did you forget our order ? ,anger
13233,"Oh, I’ve been there. Yeah, I am gonna go drive my Porsche.",neutral
13234,"I mean I’ll have to check with him first, but I’ll think he’ll be cool with it.",neutral
13235,"No thanks, Mom!",disgust
13236,That she left you for another woman that likes women?,neutral
13237, No problem . ,joy
13238,"Wow, this is so cool, you guys. The entire city is blacked out!",surprise
13239,"I like this one.  It seems to say, ""I love you and that’s why I have to kill you.""",joy
13240, The lower branches on that tree are hanging very low . Would you like me to cut them off for you ? ,joy
13241, I appreciate it . It is related to company image . ,joy
13242, Great . I ’ m looking forward to it . ,joy
13243,"Maybe it wasn't Bob, maybe it was a mouse.",neutral
13244, You did ? Wow ! Where did you learn ... ? ,surprise
13245,"Eh, Monica it, it feels so weird, y'know, Chandler’s your friend...  Oh!",surprise
13246, Let's go to the coffee shop then . It's quiet there . ,joy
13247,"All right, how about the ladybugs?",neutral
13248, Forgive me for startling you with the impetuosity of my sentiments . ,joy
13249,"Ohh, the-the Foster puppets!",sadness
13250,How's it going?,neutral
13251,"It's your turn , sir . I'm sorry that you had to wait . Saturday is a busy day for us . ",sadness
13252,How nice these frames are ! ,joy
13253,I went to Super Junior's concert last night . It was fantastic . ,joy
13254,"Well, at least she had the chance to leave a man at the altar...",joy
13255,"Okay well then, I’ll fire him today and you go out with him for another week.",neutral
13256," Thank you for telling me so much , I'll try them next time . ",joy
13257," ( looking at a newspaper ) Oh , dear me ! There's no performance at the National theater this weekend . So we have to go to cinema instead . ",surprise
13258," My wife wants to take the children to go shopping , where is the best place to go ? ",joy
13259, Let me see . How about 6:30 at the gate of the club ? ,joy
13260, The same to you ! ,joy
13261, Don't worry . I will try to get a taxi for you . You can take it to the bus station . ,joy
13262,If you’re anxious there are a few ways to help things along.,neutral
13263, No . The company pays for everything . Doesn't this sound very attractive ? This is why our company can always get the best employees ! ,joy
13264, No problem . I'll do that for you . ,joy
13265, Sure . What's playing ? ,joy
13266,"No! Come on its late, we’re not gonna go down to the office.",anger
13267, You're welcome ! ,joy
13268,"No, no, no, don't you dare bail on me.",anger
13269," Yeah , I know , my vision is really blurry at times . ",sadness
13270,Yes.,joy
13271, They said that they did . I've been so busy ... ,sadness
13272,"Pheebs, I don’t think anyone's mad about that.",neutral
13273,I’m just going to say hi to the lads. All right?,neutral
13274," The cancer ward ! ? Oh , my . It's worse than we thought . ",surprise
13275,"You guys, Joey just saw Janice kissing her ex-husband.",surprise
13276," Sure , I ’ m heading out myself . Enjoy your evening . ",joy
13277,Oh.,neutral
13278, Really ? I hope we will do much better under her guidance . ,surprise
13279," Here you are , sir . I ’ m sure she ’ ll enjoy them . ",joy
13280,"Nimitz, and sold over 2,000 boxes.",anger
13281, Don't mention it . ,joy
13282," Just think , in a few days , I'll be swimming and lying in the sun and just taking it easy . ",joy
13283," No more , thank you . I'm quite full . ",joy
13284,Let go!,anger
13285,You think we're ready for something like that?,neutral
13286,Me?,surprise
13287,"But, all right, I don’t—maybe I’ll just name him The Hulk.",neutral
